"TRANS1G","GEO","UNIT","TIME","ISCED11","SEX","Value","Flag and Footnotes"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","26.4","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","28.5","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","85.8","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","86.5","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","50.8","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","52.2","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Tertiary education (levels 5-8)","Males","30.7","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Tertiary education (levels 5-8)","Females","33.6","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","85.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","86.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","50.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","52.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Tertiary education (levels 5-8)","Males","30.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Tertiary education (levels 5-8)","Females","33.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","77.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","78.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","51.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","56.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Males","24.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","24.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","87.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","89.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","26.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","31.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Males","4.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","5.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","74.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","78.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","53.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","54.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Males","16.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","20.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","38.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","34.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","24.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","26.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Males","12.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","12.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","55.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","49.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","16.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","15.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Males","8.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","9.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","27.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","38.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","18.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","21.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Males","5.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","8.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","69.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","72.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","37.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","49.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Males","22.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Females","19.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","88.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Greece","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","92.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","65.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Greece","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","66.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Greece","Percentage","2019","Tertiary education (levels 5-8)","Males","36.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Greece","Percentage","2019","Tertiary education (levels 5-8)","Females","37.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","91.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Spain","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","93.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","69.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Spain","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","74.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Spain","Percentage","2019","Tertiary education (levels 5-8)","Males","52.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Spain","Percentage","2019","Tertiary education (levels 5-8)","Females","53.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","83.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","France","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","87.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","75.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","France","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","77.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","France","Percentage","2019","Tertiary education (levels 5-8)","Males","43.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","France","Percentage","2019","Tertiary education (levels 5-8)","Females","45.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","81.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Croatia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","81.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","45.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Croatia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","48.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Males","15.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Croatia","Percentage","2019","Tertiary education (levels 5-8)","Females","18.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","90.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Italy","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","90.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","62.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Italy","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","69.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Italy","Percentage","2019","Tertiary education (levels 5-8)","Males","31.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Italy","Percentage","2019","Tertiary education (levels 5-8)","Females","35.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","82.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Cyprus","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","84.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","51.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Cyprus","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","57.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Males","23.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Cyprus","Percentage","2019","Tertiary education (levels 5-8)","Females","23.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","31.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Latvia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","53.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","19.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Latvia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","27.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Males","4.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Latvia","Percentage","2019","Tertiary education (levels 5-8)","Females","6.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","50.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Lithuania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","47.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","33.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Lithuania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","44.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Males","9.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Lithuania","Percentage","2019","Tertiary education (levels 5-8)","Females","10.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","77.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Luxembourg","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","83.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","55.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Luxembourg","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","56.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Males","16.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Luxembourg","Percentage","2019","Tertiary education (levels 5-8)","Females","21.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","82.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Hungary","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","76.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","38.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Hungary","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","40.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Males","9.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Hungary","Percentage","2019","Tertiary education (levels 5-8)","Females","10.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","48.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Malta","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","44.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","25.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Malta","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","18.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Malta","Percentage","2019","Tertiary education (levels 5-8)","Males","13.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Malta","Percentage","2019","Tertiary education (levels 5-8)","Females","14.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","69.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Netherlands","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","74.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","51.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Netherlands","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","56.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Males","27.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Netherlands","Percentage","2019","Tertiary education (levels 5-8)","Females","23.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Austria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","64.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Austria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","57.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","25.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Austria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","28.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Austria","Percentage","2019","Tertiary education (levels 5-8)","Males","13.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Austria","Percentage","2019","Tertiary education (levels 5-8)","Females","8.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Poland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","54.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Poland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","60.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","28.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Poland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","34.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Poland","Percentage","2019","Tertiary education (levels 5-8)","Males","6.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Poland","Percentage","2019","Tertiary education (levels 5-8)","Females","8.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Portugal","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","96.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Portugal","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","97.8",""
