"TIME","GEO","UNIT","TENURE","C_BIRTH","SEX","AGE","Value","Flag and Footnotes"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","60.9","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","57.4","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","62.0","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","58.1","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Foreign country","Males","18 years or over","58.7","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Foreign country","Females","18 years or over","55.7","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Reporting country","Males","18 years or over","26.1","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","Tenant","Reporting country","Females","18 years or over","27.2","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","48.4","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","48.8","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","50.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","49.9","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","35.9","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","41.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","34.6","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","40.1","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Foreign country","Males","18 years or over","40.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Foreign country","Females","18 years or over","43.7","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Reporting country","Males","18 years or over","74.2","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Reporting country","Females","18 years or over","73.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over","51.6","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over","51.2","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over","50.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over","50.1","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","64.1","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","59.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","65.4","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","59.9","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Foreign country","Males","18 years or over","60.0","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Foreign country","Females","18 years or over","56.3","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Reporting country","Males","18 years or over","25.8","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Reporting country","Females","18 years or over","27.0","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","45.6","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","47.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","47.1","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","48.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","39.1","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","42.6","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","38.0","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","41.9","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Foreign country","Males","18 years or over","41.3","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Foreign country","Females","18 years or over","44.3","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Reporting country","Males","18 years or over","73.9","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Reporting country","Females","18 years or over","72.8","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over","54.4","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over","52.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over","52.9","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over","51.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","60.9","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","57.4","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","62.0","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","58.1","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Foreign country","Males","18 years or over","58.7","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Foreign country","Females","18 years or over","55.7","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Reporting country","Males","18 years or over","26.1","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Reporting country","Females","18 years or over","27.2","e"
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Foreign country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Foreign country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Foreign country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Foreign country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","46.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","47.4","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","48.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","48.6","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","35.0","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","40.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","33.6","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","39.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Foreign country","Males","18 years or over","38.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Foreign country","Females","18 years or over","42.6","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Reporting country","Males","18 years or over","70.8","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Reporting country","Females","18 years or over","69.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over","53.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over","52.6","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over","51.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over","51.4","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","65.0","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","59.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","66.4","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","60.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Foreign country","Males","18 years or over","61.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Foreign country","Females","18 years or over","57.4","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Reporting country","Males","18 years or over","29.2","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Reporting country","Females","18 years or over","30.7","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","46.9","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","47.4","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","48.7","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","48.6","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","35.0","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","40.1","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","33.6","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","39.1","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Foreign country","Males","18 years or over","38.9",""
