"TIME","GEO","UNIT","TENURE","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","37.1","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","39.1","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","39.7","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","40.6","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","22.4","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","29.5","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","19.9","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","28.2","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Foreign country","Males","18 years or over","28.1","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Foreign country","Females","18 years or over","33.3","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Reporting country","Males","18 years or over","73.4","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Owner","Reporting country","Females","18 years or over","72.1","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over","62.9","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over","60.9","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over","60.3","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over","59.4","u"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","77.6","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","70.5","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","80.1","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","71.8","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Foreign country","Males","18 years or over","71.9","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Foreign country","Females","18 years or over","66.7","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Reporting country","Males","18 years or over","26.6","e"
"2019","European Union - 27 countries (from 2020)","Percentage","Tenant","Reporting country","Females","18 years or over","27.9","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","37.2","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","39.1","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","39.2","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","40.3","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","23.9","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","29.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","21.7","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","28.2","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Foreign country","Males","18 years or over","29.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Foreign country","Females","18 years or over","33.6","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Reporting country","Males","18 years or over","73.1","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Owner","Reporting country","Females","18 years or over","72.0","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over","62.8","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over","60.9","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over","60.8","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over","59.7","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","76.1","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","70.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","78.3","u"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","71.8","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Foreign country","Males","18 years or over","70.5","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Foreign country","Females","18 years or over","66.4","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Reporting country","Males","18 years or over","26.9","e"
"2019","European Union - 28 countries (2013-2020)","Percentage","Tenant","Reporting country","Females","18 years or over","28.0","e"
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Foreign country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Foreign country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Owner","Reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Foreign country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Foreign country","Females","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Reporting country","Males","18 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Percentage","Tenant","Reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","36.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","38.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","38.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","39.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","22.0","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","29.2","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","19.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","27.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Foreign country","Males","18 years or over","27.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Foreign country","Females","18 years or over","32.8","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Reporting country","Males","18 years or over","69.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Owner","Reporting country","Females","18 years or over","68.4","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Males","18 years or over","63.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (from 2020) except reporting country","Females","18 years or over","61.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Males","18 years or over","61.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU28 countries (2013-2020) except reporting country","Females","18 years or over","60.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","78.0","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","70.8","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","80.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","72.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Foreign country","Males","18 years or over","72.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Foreign country","Females","18 years or over","67.2","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Reporting country","Males","18 years or over","30.1","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","Tenant","Reporting country","Females","18 years or over","31.6","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Males","18 years or over","36.1","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (from 2020) except reporting country","Females","18 years or over","38.3","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Males","18 years or over","38.7","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU28 countries (2013-2020) except reporting country","Females","18 years or over","39.9","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Males","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","EU27 countries (2007-2013) except reporting country","Females","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Males","18 years or over","22.0","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (from 2020) nor reporting country","Females","18 years or over","29.2","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Males","18 years or over","19.5","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU28 countries (2013-2020) nor reporting country","Females","18 years or over","27.7","e"
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Males","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Non-EU27 countries (2007-2013) nor reporting country","Females","18 years or over",":",""
"2019","Euro area - 19 countries  (from 2015)","Percentage","Owner","Foreign country","Males","18 years or over","27.5","e"
