"TIME","GEO","HHTYP","Value","Flag and Footnotes"
"2019","European Union - 28 countries (2013-2020)","One adult 65 years or over","14.7","e"
"2019","European Union - 28 countries (2013-2020)","One adult younger than 65 years","18.9","e"
"2019","European Union - 28 countries (2013-2020)","Two adults","28.6","e"
"2019","European Union - 28 countries (2013-2020)","Two adults with one dependent child","8.8","e"
"2019","European Union - 28 countries (2013-2020)","Two adults with two dependent children","9.3","e"
"2019","European Union - 28 countries (2013-2020)","Two adults younger than 65 years","14.5","e"
"2019","European Union - 28 countries (2013-2020)","Two adults, at least one aged 65 years or over","14.1","e"
"2019","European Union - 28 countries (2013-2020)","Two adults with three or more dependent children","2.9","e"
"2019","European Union - 28 countries (2013-2020)","Three or more adults","7.9","e"
"2019","European Union - 28 countries (2013-2020)","Three or more adults with dependent children","4.7","e"
"2019","European Union - 28 countries (2013-2020)","Households with dependent children","29.9","e"
"2019","European Union - 28 countries (2013-2020)","Households without dependent children","70.1","e"
"2019","European Union - 27 countries (2007-2013)","Single person",":",""
"2019","European Union - 27 countries (2007-2013)","Single female",":",""
"2019","European Union - 27 countries (2007-2013)","Single male",":",""
"2019","European Union - 27 countries (2007-2013)","Single person with dependent children",":",""
"2019","European Union - 27 countries (2007-2013)","One adult 65 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","One adult younger than 65 years",":",""
"2019","European Union - 27 countries (2007-2013)","Two adults",":",""
"2019","European Union - 27 countries (2007-2013)","Two adults with one dependent child",":",""
"2019","European Union - 27 countries (2007-2013)","Two adults with two dependent children",":",""
"2019","European Union - 27 countries (2007-2013)","Two adults younger than 65 years",":",""
"2019","European Union - 27 countries (2007-2013)","Two adults, at least one aged 65 years or over",":",""
"2019","European Union - 27 countries (2007-2013)","Two adults with three or more dependent children",":",""
"2019","European Union - 27 countries (2007-2013)","Three or more adults",":",""
"2019","European Union - 27 countries (2007-2013)","Three or more adults with dependent children",":",""
"2019","European Union - 27 countries (2007-2013)","Households with dependent children",":",""
"2019","European Union - 27 countries (2007-2013)","Households without dependent children",":",""
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Single person","35.0","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Single female","19.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Single male","15.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Single person with dependent children","4.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","One adult 65 years or over","14.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","One adult younger than 65 years","20.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Two adults","28.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Two adults with one dependent child","8.7","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Two adults with two dependent children","9.3","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Two adults younger than 65 years","14.2","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Two adults, at least one aged 65 years or over","14.5","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Two adults with three or more dependent children","2.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Three or more adults","7.4","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Three or more adults with dependent children","3.6","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Households with dependent children","28.9","e"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Households without dependent children","71.1","e"
"2019","Euro area - 19 countries  (from 2015)","Single person","35.0",""
"2019","Euro area - 19 countries  (from 2015)","Single female","19.3",""
"2019","Euro area - 19 countries  (from 2015)","Single male","15.7",""
"2019","Euro area - 19 countries  (from 2015)","Single person with dependent children","4.3",""
"2019","Euro area - 19 countries  (from 2015)","One adult 65 years or over","14.5",""
"2019","Euro area - 19 countries  (from 2015)","One adult younger than 65 years","20.5",""
"2019","Euro area - 19 countries  (from 2015)","Two adults","28.7",""
"2019","Euro area - 19 countries  (from 2015)","Two adults with one dependent child","8.7",""
"2019","Euro area - 19 countries  (from 2015)","Two adults with two dependent children","9.3",""
"2019","Euro area - 19 countries  (from 2015)","Two adults younger than 65 years","14.2",""
"2019","Euro area - 19 countries  (from 2015)","Two adults, at least one aged 65 years or over","14.5",""
"2019","Euro area - 19 countries  (from 2015)","Two adults with three or more dependent children","2.9",""
"2019","Euro area - 19 countries  (from 2015)","Three or more adults","7.4",""
"2019","Euro area - 19 countries  (from 2015)","Three or more adults with dependent children","3.6",""
"2019","Euro area - 19 countries  (from 2015)","Households with dependent children","28.9",""
"2019","Euro area - 19 countries  (from 2015)","Households without dependent children","71.1",""
"2019","Euro area - 18 countries (2014)","Single person","35.0",""
"2019","Euro area - 18 countries (2014)","Single female","19.3",""
"2019","Euro area - 18 countries (2014)","Single male","15.7",""
"2019","Euro area - 18 countries (2014)","Single person with dependent children","4.3",""
"2019","Euro area - 18 countries (2014)","One adult 65 years or over","14.5",""
"2019","Euro area - 18 countries (2014)","One adult younger than 65 years","20.5",""
"2019","Euro area - 18 countries (2014)","Two adults","28.7",""
"2019","Euro area - 18 countries (2014)","Two adults with one dependent child","8.7",""
"2019","Euro area - 18 countries (2014)","Two adults with two dependent children","9.3",""
"2019","Euro area - 18 countries (2014)","Two adults younger than 65 years","14.2",""
"2019","Euro area - 18 countries (2014)","Two adults, at least one aged 65 years or over","14.6",""
"2019","Euro area - 18 countries (2014)","Two adults with three or more dependent children","2.9",""
"2019","Euro area - 18 countries (2014)","Three or more adults","7.4",""
"2019","Euro area - 18 countries (2014)","Three or more adults with dependent children","3.6",""
"2019","Euro area - 18 countries (2014)","Households with dependent children","28.9",""
"2019","Euro area - 18 countries (2014)","Households without dependent children","71.1",""
"2019","Belgium","Single person","34.7","b"
"2019","Belgium","Single female","18.2","b"
"2019","Belgium","Single male","16.5","b"
"2019","Belgium","Single person with dependent children","6.2","b"
"2019","Belgium","One adult 65 years or over","13.9","b"
"2019","Belgium","One adult younger than 65 years","20.7","b"
"2019","Belgium","Two adults","28.8","b"
"2019","Belgium","Two adults with one dependent child","8.1","b"
"2019","Belgium","Two adults with two dependent children","9.6","b"
"2019","Belgium","Two adults younger than 65 years","14.9","b"
"2019","Belgium","Two adults, at least one aged 65 years or over","13.9","b"
"2019","Belgium","Two adults with three or more dependent children","4.5","b"
"2019","Belgium","Three or more adults","4.6","b"
"2019","Belgium","Three or more adults with dependent children","3.5","b"
"2019","Belgium","Households with dependent children","31.9","b"
"2019","Belgium","Households without dependent children","68.1","b"
"2019","Bulgaria","Single person","34.3",""
"2019","Bulgaria","Single female","20.7",""
"2019","Bulgaria","Single male","13.6",""
"2019","Bulgaria","Single person with dependent children","2.9",""
"2019","Bulgaria","One adult 65 years or over","20.6",""
"2019","Bulgaria","One adult younger than 65 years","13.7",""
"2019","Bulgaria","Two adults","25.1",""
"2019","Bulgaria","Two adults with one dependent child","8.9",""
"2019","Bulgaria","Two adults with two dependent children","8.3",""
"2019","Bulgaria","Two adults younger than 65 years","11.8",""
"2019","Bulgaria","Two adults, at least one aged 65 years or over","13.3",""
"2019","Bulgaria","Two adults with three or more dependent children","1.4",""
"2019","Bulgaria","Three or more adults","10.1",""
"2019","Bulgaria","Three or more adults with dependent children","9.0",""
"2019","Bulgaria","Households with dependent children","30.5",""
"2019","Bulgaria","Households without dependent children","69.5",""
"2019","Czechia","Single person","29.8",""
"2019","Czechia","Single female","17.7",""
"2019","Czechia","Single male","12.1",""
"2019","Czechia","Single person with dependent children","4.2",""
"2019","Czechia","One adult 65 years or over","15.1",""
"2019","Czechia","One adult younger than 65 years","14.8",""
"2019","Czechia","Two adults","29.4",""
"2019","Czechia","Two adults with one dependent child","10.6",""
"2019","Czechia","Two adults with two dependent children","11.6",""
"2019","Czechia","Two adults younger than 65 years","14.5",""
"2019","Czechia","Two adults, at least one aged 65 years or over","14.9",""
"2019","Czechia","Two adults with three or more dependent children","2.4",""
"2019","Czechia","Three or more adults","8.0",""
"2019","Czechia","Three or more adults with dependent children","4.0",""
"2019","Czechia","Households with dependent children","32.8",""
"2019","Czechia","Households without dependent children","67.2",""
"2019","Denmark","Single person","43.9",""
"2019","Denmark","Single female","23.2",""
"2019","Denmark","Single male","20.7",""
"2019","Denmark","Single person with dependent children","5.5",""
"2019","Denmark","One adult 65 years or over","18.2",""
"2019","Denmark","One adult younger than 65 years","25.7",""
"2019","Denmark","Two adults","29.3",""
"2019","Denmark","Two adults with one dependent child","6.3",""
"2019","Denmark","Two adults with two dependent children","7.7",""
"2019","Denmark","Two adults younger than 65 years","17.7",""
"2019","Denmark","Two adults, at least one aged 65 years or over","11.6",""
"2019","Denmark","Two adults with three or more dependent children","3.2",""
"2019","Denmark","Three or more adults","2.5",""
"2019","Denmark","Three or more adults with dependent children","1.7",""
"2019","Denmark","Households with dependent children","24.4",""
"2019","Denmark","Households without dependent children","75.6",""
"2019","Germany (until 1990 former territory of the FRG)","Single person","42.0",""
"2019","Germany (until 1990 former territory of the FRG)","Single female","22.0",""
"2019","Germany (until 1990 former territory of the FRG)","Single male","20.0",""
"2019","Germany (until 1990 former territory of the FRG)","Single person with dependent children","4.3",""
"2019","Germany (until 1990 former territory of the FRG)","One adult 65 years or over","15.4",""
"2019","Germany (until 1990 former territory of the FRG)","One adult younger than 65 years","26.6",""
"2019","Germany (until 1990 former territory of the FRG)","Two adults","30.7",""
"2019","Germany (until 1990 former territory of the FRG)","Two adults with one dependent child","7.7",""
"2019","Germany (until 1990 former territory of the FRG)","Two adults with two dependent children","7.2",""
"2019","Germany (until 1990 former territory of the FRG)","Two adults younger than 65 years","16.8",""
"2019","Germany (until 1990 former territory of the FRG)","Two adults, at least one aged 65 years or over","13.8",""
"2019","Germany (until 1990 former territory of the FRG)","Two adults with three or more dependent children","2.8",""
"2019","Germany (until 1990 former territory of the FRG)","Three or more adults","3.6",""
"2019","Germany (until 1990 former territory of the FRG)","Three or more adults with dependent children","1.8",""
"2019","Germany (until 1990 former territory of the FRG)","Households with dependent children","23.7",""
"2019","Germany (until 1990 former territory of the FRG)","Households without dependent children","76.3",""
"2019","Estonia","Single person","41.8",""
"2019","Estonia","Single female","25.0",""
"2019","Estonia","Single male","16.8",""
"2019","Estonia","Single person with dependent children","4.1",""
"2019","Estonia","One adult 65 years or over","18.1",""
"2019","Estonia","One adult younger than 65 years","23.7",""
"2019","Estonia","Two adults","25.2",""
"2019","Estonia","Two adults with one dependent child","8.8",""
"2019","Estonia","Two adults with two dependent children","8.1",""
"2019","Estonia","Two adults younger than 65 years","14.5",""
"2019","Estonia","Two adults, at least one aged 65 years or over","10.7",""
"2019","Estonia","Two adults with three or more dependent children","2.9",""
"2019","Estonia","Three or more adults","5.3",""
"2019","Estonia","Three or more adults with dependent children","4.0",""
"2019","Estonia","Households with dependent children","27.8",""
"2019","Estonia","Households without dependent children","72.2",""
"2019","Ireland","Single person","25.8",""
"2019","Ireland","Single female","13.4",""
"2019","Ireland","Single male","12.4",""
"2019","Ireland","Single person with dependent children","7.2",""
"2019","Ireland","One adult 65 years or over","13.1",""
"2019","Ireland","One adult younger than 65 years","12.8",""
"2019","Ireland","Two adults","25.6",""
"2019","Ireland","Two adults with one dependent child","8.3",""
"2019","Ireland","Two adults with two dependent children","11.6",""
"2019","Ireland","Two adults younger than 65 years","13.3",""
"2019","Ireland","Two adults, at least one aged 65 years or over","12.3",""
"2019","Ireland","Two adults with three or more dependent children","6.8",""
"2019","Ireland","Three or more adults","8.4",""
"2019","Ireland","Three or more adults with dependent children","6.4",""
"2019","Ireland","Households with dependent children","40.2",""
"2019","Ireland","Households without dependent children","59.8",""
"2019","Greece","Single person","25.7",""
"2019","Greece","Single female","16.5",""
"2019","Greece","Single male","9.2",""
"2019","Greece","Single person with dependent children","1.3",""
"2019","Greece","One adult 65 years or over","13.5",""
"2019","Greece","One adult younger than 65 years","12.2",""
"2019","Greece","Two adults","28.7",""
"2019","Greece","Two adults with one dependent child","9.1",""
"2019","Greece","Two adults with two dependent children","9.8",""
"2019","Greece","Two adults younger than 65 years","11.4",""
"2019","Greece","Two adults, at least one aged 65 years or over","17.4",""
"2019","Greece","Two adults with three or more dependent children","4.0",""
"2019","Greece","Three or more adults","15.1",""
"2019","Greece","Three or more adults with dependent children","6.3",""
"2019","Greece","Households with dependent children","30.4",""
"2019","Greece","Households without dependent children","69.6",""
"2019","Spain","Single person","25.7",""
"2019","Spain","Single female","14.0",""
"2019","Spain","Single male","11.7",""
"2019","Spain","Single person with dependent children","3.3",""
"2019","Spain","One adult 65 years or over","11.5",""
"2019","Spain","One adult younger than 65 years","14.1",""
"2019","Spain","Two adults","28.3",""
"2019","Spain","Two adults with one dependent child","10.1",""
"2019","Spain","Two adults with two dependent children","10.9",""
"2019","Spain","Two adults younger than 65 years","14.2",""
"2019","Spain","Two adults, at least one aged 65 years or over","14.2",""
"2019","Spain","Two adults with three or more dependent children","2.3",""
"2019","Spain","Three or more adults","13.2",""
"2019","Spain","Three or more adults with dependent children","6.3",""
"2019","Spain","Households with dependent children","32.8",""
"2019","Spain","Households without dependent children","67.2",""
"2019","France","Single person","38.6",""
"2019","France","Single female","22.2",""
"2019","France","Single male","16.4",""
"2019","France","Single person with dependent children","5.9",""
"2019","France","One adult 65 years or over","16.4",""
"2019","France","One adult younger than 65 years","22.2",""
"2019","France","Two adults","28.9",""
"2019","France","Two adults with one dependent child","8.2",""
"2019","France","Two adults with two dependent children","10.4",""
"2019","France","Two adults younger than 65 years","14.6",""
"2019","France","Two adults, at least one aged 65 years or over","14.3",""
"2019","France","Two adults with three or more dependent children","3.6",""
"2019","France","Three or more adults","2.9",""
"2019","France","Three or more adults with dependent children","1.6",""
"2019","France","Households with dependent children","29.6",""
"2019","France","Households without dependent children","70.4",""
"2019","Croatia","Single person","24.4",""
"2019","Croatia","Single female","15.6",""
"2019","Croatia","Single male","8.8",""
"2019","Croatia","Single person with dependent children","1.9",""
"2019","Croatia","One adult 65 years or over","15.2",""
"2019","Croatia","One adult younger than 65 years","9.2",""
"2019","Croatia","Two adults","25.3",""
"2019","Croatia","Two adults with one dependent child","7.1",""
"2019","Croatia","Two adults with two dependent children","9.8",""
"2019","Croatia","Two adults younger than 65 years","9.5",""
"2019","Croatia","Two adults, at least one aged 65 years or over","15.8",""
"2019","Croatia","Two adults with three or more dependent children","3.9",""
"2019","Croatia","Three or more adults","16.6",""
"2019","Croatia","Three or more adults with dependent children","10.9",""
"2019","Croatia","Households with dependent children","33.6",""
"2019","Croatia","Households without dependent children","66.4",""
"2019","Italy","Single person","33.0",""
"2019","Italy","Single female","18.5",""
"2019","Italy","Single male","14.5",""
"2019","Italy","Single person with dependent children","4.0",""
"2019","Italy","One adult 65 years or over","15.4",""
"2019","Italy","One adult younger than 65 years","17.6",""
"2019","Italy","Two adults","25.7",""
"2019","Italy","Two adults with one dependent child","9.4",""
"2019","Italy","Two adults with two dependent children","9.4",""
"2019","Italy","Two adults younger than 65 years","9.6",""
"2019","Italy","Two adults, at least one aged 65 years or over","16.0",""
"2019","Italy","Two adults with three or more dependent children","1.9",""
"2019","Italy","Three or more adults","11.9",""
"2019","Italy","Three or more adults with dependent children","4.7",""
"2019","Italy","Households with dependent children","29.5",""
"2019","Italy","Households without dependent children","70.5",""
"2019","Cyprus","Single person","20.8",""
"2019","Cyprus","Single female","9.3",""
"2019","Cyprus","Single male","11.5",""
"2019","Cyprus","Single person with dependent children","3.2",""
"2019","Cyprus","One adult 65 years or over","6.4",""
"2019","Cyprus","One adult younger than 65 years","14.4",""
"2019","Cyprus","Two adults","32.7",""
"2019","Cyprus","Two adults with one dependent child","9.4",""
"2019","Cyprus","Two adults with two dependent children","11.1",""
"2019","Cyprus","Two adults younger than 65 years","15.1",""
"2019","Cyprus","Two adults, at least one aged 65 years or over","17.6",""
"2019","Cyprus","Two adults with three or more dependent children","5.3",""
"2019","Cyprus","Three or more adults","9.4",""
"2019","Cyprus","Three or more adults with dependent children","8.1",""
"2019","Cyprus","Households with dependent children","37.1",""
"2019","Cyprus","Households without dependent children","62.9",""
"2019","Latvia","Single person","35.4",""
"2019","Latvia","Single female","23.1",""
"2019","Latvia","Single male","12.2",""
"2019","Latvia","Single person with dependent children","4.9",""
"2019","Latvia","One adult 65 years or over","17.1",""
"2019","Latvia","One adult younger than 65 years","18.2",""
"2019","Latvia","Two adults","27.3",""
"2019","Latvia","Two adults with one dependent child","9.5",""
"2019","Latvia","Two adults with two dependent children","7.0",""
"2019","Latvia","Two adults younger than 65 years","14.6",""
"2019","Latvia","Two adults, at least one aged 65 years or over","12.7",""
"2019","Latvia","Two adults with three or more dependent children","2.7",""
"2019","Latvia","Three or more adults","7.6",""
"2019","Latvia","Three or more adults with dependent children","5.6",""
"2019","Latvia","Households with dependent children","29.8",""
"2019","Latvia","Households without dependent children","70.2",""
"2019","Lithuania","Single person","38.3",""
"2019","Lithuania","Single female","24.0",""
"2019","Lithuania","Single male","14.3",""
"2019","Lithuania","Single person with dependent children","6.2",""
"2019","Lithuania","One adult 65 years or over","18.0",""
"2019","Lithuania","One adult younger than 65 years","20.2",""
"2019","Lithuania","Two adults","25.8",""
"2019","Lithuania","Two adults with one dependent child","8.6",""
"2019","Lithuania","Two adults with two dependent children","8.2",""
"2019","Lithuania","Two adults younger than 65 years","13.8",""
"2019","Lithuania","Two adults, at least one aged 65 years or over","11.9",""
"2019","Lithuania","Two adults with three or more dependent children","1.8",""
"2019","Lithuania","Three or more adults","6.7",""
"2019","Lithuania","Three or more adults with dependent children","4.4",""
"2019","Lithuania","Households with dependent children","29.2",""
"2019","Lithuania","Households without dependent children","70.8",""
"2019","Luxembourg","Single person","33.1",""
"2019","Luxembourg","Single female","15.8",""
"2019","Luxembourg","Single male","17.3",""
"2019","Luxembourg","Single person with dependent children","4.4",""
"2019","Luxembourg","One adult 65 years or over","9.3",""
"2019","Luxembourg","One adult younger than 65 years","23.7",""
"2019","Luxembourg","Two adults","29.2",""
"2019","Luxembourg","Two adults with one dependent child","10.7",""
"2019","Luxembourg","Two adults with two dependent children","10.5",""
"2019","Luxembourg","Two adults younger than 65 years","17.6",""
"2019","Luxembourg","Two adults, at least one aged 65 years or over","11.6",""
"2019","Luxembourg","Two adults with three or more dependent children","2.9",""
"2019","Luxembourg","Three or more adults","5.1",""
"2019","Luxembourg","Three or more adults with dependent children","4.1",""
"2019","Luxembourg","Households with dependent children","32.6",""
"2019","Luxembourg","Households without dependent children","67.4",""
"2019","Hungary","Single person","33.0",""
"2019","Hungary","Single female","19.1",""
"2019","Hungary","Single male","13.9",""
"2019","Hungary","Single person with dependent children","4.4",""
"2019","Hungary","One adult 65 years or over","15.4",""
"2019","Hungary","One adult younger than 65 years","17.6",""
"2019","Hungary","Two adults","29.3",""
"2019","Hungary","Two adults with one dependent child","8.9",""
"2019","Hungary","Two adults with two dependent children","7.6",""
"2019","Hungary","Two adults younger than 65 years","15.5",""
"2019","Hungary","Two adults, at least one aged 65 years or over","13.8",""
"2019","Hungary","Two adults with three or more dependent children","3.3",""
"2019","Hungary","Three or more adults","8.1",""
"2019","Hungary","Three or more adults with dependent children","5.4",""
"2019","Hungary","Households with dependent children","29.6",""
"2019","Hungary","Households without dependent children","70.4",""
"2019","Malta","Single person","27.3",""
"2019","Malta","Single female","12.1",""
"2019","Malta","Single male","15.2",""
"2019","Malta","Single person with dependent children","3.6",""
"2019","Malta","One adult 65 years or over","13.8",""
"2019","Malta","One adult younger than 65 years","13.5",""
"2019","Malta","Two adults","29.6",""
"2019","Malta","Two adults with one dependent child","11.1",""
"2019","Malta","Two adults with two dependent children","8.4",""
"2019","Malta","Two adults younger than 65 years","15.9",""
"2019","Malta","Two adults, at least one aged 65 years or over","13.7",""
"2019","Malta","Two adults with three or more dependent children","1.7",""
"2019","Malta","Three or more adults","10.2",""
"2019","Malta","Three or more adults with dependent children","8.2",""
"2019","Malta","Households with dependent children","32.9",""
"2019","Malta","Households without dependent children","67.1",""
"2019","Netherlands","Single person","38.5",""
"2019","Netherlands","Single female","20.3",""
"2019","Netherlands","Single male","18.3",""
"2019","Netherlands","Single person with dependent children","3.5",""
"2019","Netherlands","One adult 65 years or over","12.5",""
"2019","Netherlands","One adult younger than 65 years","26.1",""
"2019","Netherlands","Two adults","31.0",""
"2019","Netherlands","Two adults with one dependent child","7.8",""
"2019","Netherlands","Two adults with two dependent children","9.7",""
"2019","Netherlands","Two adults younger than 65 years","15.8",""
"2019","Netherlands","Two adults, at least one aged 65 years or over","15.1",""
"2019","Netherlands","Two adults with three or more dependent children","4.1",""
"2019","Netherlands","Three or more adults","3.4",""
"2019","Netherlands","Three or more adults with dependent children","2.0",""
"2019","Netherlands","Households with dependent children","27.2",""
"2019","Netherlands","Households without dependent children","72.8",""
"2019","Austria","Single person","37.4",""
"2019","Austria","Single female","20.9",""
"2019","Austria","Single male","16.5",""
"2019","Austria","Single person with dependent children","2.5",""
"2019","Austria","One adult 65 years or over","12.2",""
"2019","Austria","One adult younger than 65 years","25.2",""
"2019","Austria","Two adults","28.8",""
"2019","Austria","Two adults with one dependent child","7.8",""
"2019","Austria","Two adults with two dependent children","7.8",""
"2019","Austria","Two adults younger than 65 years","17.0",""
"2019","Austria","Two adults, at least one aged 65 years or over","11.8",""
"2019","Austria","Two adults with three or more dependent children","3.4",""
"2019","Austria","Three or more adults","7.9",""
"2019","Austria","Three or more adults with dependent children","4.3",""
"2019","Austria","Households with dependent children","25.9",""
"2019","Austria","Households without dependent children","74.1",""
"2019","Poland","Single person","25.2",""
"2019","Poland","Single female","16.6",""
"2019","Poland","Single male","8.6",""
"2019","Poland","Single person with dependent children","1.6",""
"2019","Poland","One adult 65 years or over","13.1",""
"2019","Poland","One adult younger than 65 years","12.1",""
"2019","Poland","Two adults","25.9",""
"2019","Poland","Two adults with one dependent child","9.7",""
"2019","Poland","Two adults with two dependent children","8.1",""
"2019","Poland","Two adults younger than 65 years","14.0",""
"2019","Poland","Two adults, at least one aged 65 years or over","11.9",""
"2019","Poland","Two adults with three or more dependent children","2.4",""
"2019","Poland","Three or more adults","14.3",""
"2019","Poland","Three or more adults with dependent children","12.8",""
"2019","Poland","Households with dependent children","34.6",""
"2019","Poland","Households without dependent children","65.4",""
"2019","Portugal","Single person","22.8",""
"2019","Portugal","Single female","15.1",""
